,1st,2nd,3rd
List,0.8529411764705882,0.1323529411764706,0.014705882352941176
Single,0.029411764705882353,0.5588235294117647,0.4117647058823529
Multi,0.11764705882352941,0.3088235294117647,0.5735294117647058
