,price,price,price,rating,rating,rating,distance,distance,distance,rating_per_euro,rating_per_euro,rating_per_euro
,mean,std,count,mean,std,count,mean,std,count,mean,std,count
interface_option,,,,,,,,,,,,
benchmark,45.17387096774194,68.21687691653273,62,4.191451612903226,0.8014123736892723,62,1.658548387096774,2.0731625060059407,62,0.18257459227760112,0.09261339878655557,62
multi,58.601129032258065,24.26256585736714,62,3.8499999999999996,0.8504232311803034,62,0.8482258064516129,0.655114867148636,62,0.08630249582890312,0.057429364172832,62
single,64.8108064516129,28.02693454508916,62,4.155806451612903,0.5718091748273291,62,0.8491935483870967,0.7648407064135658,62,0.08196599204075959,0.05361195137775777,62
