metric,sphericity,W,chi2,dof,pval,note
task_completion_time_sec,True,0.9403527256729046,3.6900140415288187,2,0.15802421143499368,OK
total_interactions,False,0.5954273611674487,31.10855263167427,2,1.75737169034449e-07,OK
total_navigations,True,0.9215357575733818,4.902821937861055,2,0.08617191478760428,OK
total_filters,False,0.6237463597681672,28.32068807858742,2,7.083382951990036e-07,OK
total_resets,True,0.9592465222459553,2.4964305212716167,2,0.2870165898218477,OK
total_hovers,False,0.031562127387670905,207.34784265332303,2,9.440349011815418e-46,OK
total_scrolls,False,0.5511568307535523,35.744152860700204,2,1.7308356275583185e-08,OK
