metric,sphericity,W,chi2,dof,pval,note
task_completion_time_sec,False,0.8960880483007149,6.5829961585468215,2,0.03719808195903109,OK
total_interactions,False,0.7582604448598665,16.603701453180406,2,0.00024805731575401044,OK
total_navigations,True,0.9366682545239249,3.9255666061572034,2,0.14046691433793027,OK
total_filters,False,0.7164683927312764,20.005268766691984,2,4.5280486342565355e-05,OK
total_resets,True,0.9441241619720067,3.4498556383741423,2,0.17818591291277563,OK
total_hovers,False,0.027995127790761628,214.54348748524734,2,2.585077861724372e-47,OK
total_scrolls,False,0.7350573283661772,18.46840710203142,2,9.764192952448524e-05,OK
